osm_id,name,description,category,amenity_type,access,capacity,rating,latitude,longitude
n6285398228,21st St N and N Pierce St,,bicycle_rental,bicycle_rental,,15.0,,38.8989918,-77.0783193
n6285398229,S Joyce and 16th St S,,bicycle_rental,bicycle_rental,,15.0,,38.8592618,-77.0632773
n6285398239,Pershing and N George Mason Dr,,bicycle_rental,bicycle_rental,,10.0,,38.8718298,-77.1079083
n6285398240,Columbia Pike and S Dinwiddie St / Arlington Mill Community Center,,bicycle_rental,bicycle_rental,,14.0,,38.8565459,-77.1116572
n6285398241,Columbia Pike and S Walter Reed Dr,,bicycle_rental,bicycle_rental,,12.0,,38.862463,-77.0865343
n6285398249,Columbia Pike and S Orme St,,bicycle_rental,bicycle_rental,,10.0,,38.8672698,-77.0723173
n6285398250,N Pershing Dr and Wayne St,,bicycle_rental,bicycle_rental,,11.0,,38.8807135,-77.0859679
n6285398251,Gravelly Point,,bicycle_rental,bicycle_rental,,13.0,,38.8650368,-77.0395133
n6285398252,S George Mason Dr and Four Mile Run,,bicycle_rental,bicycle_rental,,10.0,,38.8522434,-77.105027
n6285398261,Roosevelt Island,,bicycle_rental,bicycle_rental,,13.0,,38.8965608,-77.0671423
n6285398264,S Arlington Mill Dr and Campbell Ave,,bicycle_rental,bicycle_rental,,15.0,,38.8423278,-77.0895573
n6285398265,S Four Mile Run and Walter Reed Dr,,bicycle_rental,bicycle_rental,,11.0,,38.8473068,-77.095335
n6285398267,S Troy St and 26th St S,,bicycle_rental,bicycle_rental,,11.0,,38.8479848,-77.0751063
n6285398278,Barcroft Community Center,,bicycle_rental,bicycle_rental,,11.0,,38.8503448,-77.1009913
n6285398390,McLean Metro,,bicycle_rental,bicycle_rental,,19.0,,38.9240071,-77.2081334
n6285398421,Wilson Blvd and N Troy St,,bicycle_rental,bicycle_rental,,15.0,,38.8925638,-77.0820913
n6285398475,Madison and Fairfax St,,bicycle_rental,bicycle_rental,,12.0,,38.8123588,-77.0406933
n6285398476,Greensboro and International Dr,,bicycle_rental,bicycle_rental,,10.0,,38.9230908,-77.2274194
n6285398478,N Lynn St and Fairfax Dr,,bicycle_rental,bicycle_rental,,15.0,,38.8937479,-77.0709152
n6285398479,Sunset Hills Rd and Isaac Newton Square,,bicycle_rental,bicycle_rental,,11.0,,38.9514211,-77.3403023
n6285398484,Library St and Freedom Dr,,bicycle_rental,bicycle_rental,,18.0,,38.9596408,-77.3587434
n6285398595,Eads and 22nd St S,,bicycle_rental,bicycle_rental,,15.0,,38.8543888,-77.0534143
n6285398602,Aurora Hills Community Ctr/18th and Hayes St,,bicycle_rental,bicycle_rental,,11.0,,38.8578738,-77.0594923
n6285398604,Eads St and 15th St S,,bicycle_rental,bicycle_rental,,15.0,,38.8589836,-77.0532161
n6285398606,Long Bridge Dr and 6th St S,,bicycle_rental,bicycle_rental,,15.0,,38.8655424,-77.0500275
n6285398609,Langston Blvd and N Scott St,,bicycle_rental,bicycle_rental,,15.0,,38.8976198,-77.0808533
n6285398611,Duke St and John Carlyle St,,bicycle_rental,bicycle_rental,,15.0,,38.8043858,-77.0608683
n6285398618,Rolfe St and 9th St S,,bicycle_rental,bicycle_rental,,11.0,,38.8664788,-77.0761333
n6285398626,TJ Cmty Ctr / 2nd St and S Old Glebe Rd,,bicycle_rental,bicycle_rental,,15.0,,38.8694258,-77.0955983
n6285398630,Eads St and 12th St S,,bicycle_rental,bicycle_rental,,13.0,,38.8627632,-77.0542939
n6294469388,Hawwi,,restaurant,restaurant,,,,38.8081524,-77.0518247
n6299382877,Pitango Gelato Reston Town Center,,ice_cream,ice_cream,,,,38.9582604,-77.3591585
n6302244866,Gentle Care Dentists,,dentist,dentist,,,,38.8812648,-77.1113633
n6302244867,Domino's,,fast_food,fast_food,,,,38.8781049,-77.1079678
n6302420834,Kung Fu Tea,,cafe,cafe,,,,38.7782471,-77.2734034
n6302426662,El Pueblo,,restaurant,restaurant,,,,38.778626,-77.273843
n6302434582,Subway,,fast_food,fast_food,,,,38.7996817,-77.3190859
n6302437132,Vocelli Pizza,,fast_food,fast_food,,,,38.799661,-77.3188085
n6305572366,Pupuseria Dona Azucena,,restaurant,restaurant,,,,38.871927,-77.1017244
n6305724169,Mr. Wash,,car_wash,car_wash,,,,38.8724308,-77.1022231
n6312799594,Fairfax County Federal Credit Union,,bank,bank,,,,38.7769123,-77.1766789
n6329824917,Cookology,,restaurant,restaurant,,,,38.8795998,-77.1112613
n6337755426,LabCorp,,clinic,clinic,,,,38.8830221,-77.1155212
n6338152056,Chuck E. Cheese,,restaurant,restaurant,,,,38.8416605,-77.2703869
n6343945766,Domino's,,fast_food,fast_food,,,,38.8934305,-77.1869972
n6344286610,Dunkin',,fast_food,fast_food,,,,38.8351541,-77.05105
n6344286611,Baskin-Robbins,,ice_cream,ice_cream,,,,38.8350852,-77.0510178
n6351129750,True Food,,restaurant,restaurant,,,,38.8796808,-77.1112458
n6351130030,Mezeh Mediterranean Grill,,restaurant,restaurant,,,,38.8786505,-77.1112385
n6351130223,Chick-fil-A,,fast_food,fast_food,,,,38.878914,-77.1110047
n6351130293,Quarter Market,,food_court,food_court,,,,38.8792914,-77.1109164
n6352703735,Sushi2go,,restaurant,restaurant,,,,38.881741,-77.110973
n6361797478,Hayfield Animal Hospital,,veterinary,veterinary,,,,38.7475886,-77.1450331
n6369493838,Smile Dental Care,,dentist,dentist,,,,38.8521915,-77.3233659
n6374772980,LongHorn Steakhouse,,restaurant,restaurant,,,,38.8477232,-77.1190672
n6374773079,Olive Garden,,restaurant,restaurant,,,,38.8469844,-77.118951
n6380814580,Good Company,,cafe,cafe,,,,38.8788708,-77.1125849
n6382166468,Regal Cinemas,,cinema,cinema,,,,38.8790626,-77.111396
n6385568731,South Block,,cafe,cafe,,,,38.8795095,-77.1095919
n6389119734,Ledo Pizza,,restaurant,restaurant,,,,38.848353,-77.352936
n6389599410,Depth Charge Studios,,studio,studio,,,,38.8317333,-77.0514567
n6390268813,Columbia Pike Family Dentistry,,dentist,dentist,,,,38.8636608,-77.0837632
n6399814686,Sbarro,,fast_food,fast_food,,,,38.917613,-77.221192
n6410526202,District Bar,,bar,bar,customers,,,38.8484357,-77.0422268
n6410526204,Dunkin',,fast_food,fast_food,customers,,,38.848329,-77.042398
n6410550102,Bethesda Bagels,,fast_food,fast_food,,,,38.896614,-77.0713609
n6437351831,Enterprise,,car_rental,car_rental,,,,38.8939617,-77.076425
n6439458685,Dishes of India,,restaurant,restaurant,,,,38.7757205,-77.0594686
n6439486687,Padaek,,restaurant,restaurant,,,,38.8450179,-77.0682026
n6442674771,Oasis Pediatric Dental,,dentist,dentist,,,,38.8884593,-77.1804074
n6442866577,Union Kitchen Ballston,,cafe,cafe,,,,38.8796927,-77.1095448
n6442869040,Compass Coffee,,cafe,cafe,,,,38.8796686,-77.1093679
n6446016006,&pizza,,fast_food,fast_food,,,,38.916666,-77.223837
n6451918075,Sandy Spring Bank,,bank,bank,,,,38.8824025,-77.1151483
n6451918076,Market Cafe,,cafe,cafe,,,,38.8818278,-77.1150069
n6451918078,EagleBank,,bank,bank,,,,38.8818646,-77.1142215
n6466751515,Lubber Run Farmers Market,,marketplace,marketplace,,,,38.8733687,-77.1121951
n6478048165,2201 Wilson Blvd Loading Dock,Loading dock entrance for 2201 Wilson Blvd. Prior reservation needs to be made so the door can be opened.,loading_dock,loading_dock,,,,38.8916444,-77.0860608
